Zaban,Khord,Kalan,Riazi,Amar,Doroos
0,27,36,11,18,22
2,22,33,7,15,18
0,15,23,13,-1,0
0,18,29,-1,11,15
0,10,25,0,11,0
3,25,35,8,16,21
2,23,33,0,25,18
0,42,58,0,5,0
0,11,23,0,0,12
0,24,12,0,-1,0
12,32,41,18,0,25
9,28,38,24,-1,21
0,42,26,15,0,25
0,24,0,19,-1,7
0,19,23,0,0,0
0,41,46,23,17,25
0,42,11,31,0,12
0,28,53,12,0,38
0,0,18,14,-1,7
0,17,0,-1,19,23
12,51,29,37,8,41
0,23,38,11,15,32
0,35,26,15,0,11
0,0,27,8,-1,7
0,0,-1,19,23,0
12,51,37,28,17,13
0,41,0,12,0,16
13,0,38,0,12,41
0,24,13,0,-1,17
12,-1,0,0,13,0
21,49,27,32,0,33
11,39,25,20,25,41
0,26,23,13,-1,0
0,31,37,18,25,29
0,12,51,0,11,0
11,21,36,25,17,41
0,27,38,16,15,31
0,0,-1,19,29,0
18,11,32,15,0,11
0,0,32,15,-1,7
0,26,10,7,-1,0
23,0,0,32,16,43
34,31,25,0,0,0
0,15,39,11,0,16
0,11,35,0,11,0
0,36,54,12,27,42
11,51,25,18,12,33
15,2,10,0,-1,21
0,41,29,21,13,27
31,26,21,0,0,0
15,31,46,0,27,39
25,0,17,-2,-1,15
25,29,17,-1,42,37
29,0,35,12,11,0
18,21,12,24,0,31
0,12,38,37,17,0
0,0,33,29,15,8
0,7,26,-2,0,25
5,15,0,19,-1,7
0,26,0,21,0,0
